ID,limit_bal,is_male,education,is_married,age,pay_1,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,label
1657,150000,0,1,0,29,0,0,2,0,0,0,108817,83654,79713,64468,66488,58131,7500,0,4000,4000,4000,3500,1
8509,50000,1,2,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27089,50000,1,2,1,44,0,0,0,0,0,0,3201,0,5701,0,0,0,0,5701,0,0,0,0,1
20771,50000,1,3,0,34,2,2,2,2,3,2,44951,45906,46872,49974,50023,53367,2000,2000,4200,1170,4300,0,1
6366,20000,1,3,1,27,0,0,2,0,0,0,20184,20702,20057,19583,19991,20446,2950,2,687,709,965,559,1
13135,260000,0,2,1,39,0,0,0,0,0,0,255674,260778,124739,126892,131160,133400,10663,4520,4537,6308,6000,0,1
17682,300000,0,1,1,47,0,0,0,0,0,0,514,2392,148,148,148,0,2392,148,148,148,0,747,1
26867,390000,1,1,0,37,0,0,0,0,0,0,73,10925,0,0,0,0,10952,0,0,0,0,0,1
23391,430000,0,1,1,37,0,0,0,0,0,0,1013,0,2320,0,4139,0,0,2320,0,4139,1015,0,1
30000,50000,1,2,1,46,0,0,0,0,0,0,47929,48905,49764,36535,32428,15313,2078,1800,1430,1000,1000,1000,1
8294,50000,0,3,0,23,2,2,2,2,2,2,42304,45327,46294,47147,46272,49050,3695,2000,1900,0,3700,0,1
28315,200000,0,2,1,48,0,0,2,0,0,0,22111,32938,10902,6309,4979,2978,11257,0,6309,0,2986,0,1
20595,50000,1,2,1,32,0,0,0,0,0,0,41266,50669,48942,27836,40346,38668,27004,1613,1484,3675,698,1000,1
29901,20000,1,2,0,29,0,0,0,0,0,0,16809,0,0,0,0,0,0,0,0,0,0,0,1
11682,100000,1,2,0,29,2,2,3,2,2,2,86974,98246,95884,93528,96397,96258,12700,0,0,6050,1600,3400,1
15034,180000,1,2,1,36,2,2,2,2,2,2,114140,115764,117426,119000,120528,123451,5000,5000,5000,5000,5000,0,1
19565,60000,0,3,1,48,0,0,0,0,0,0,316,316,316,316,316,316,316,316,316,316,316,316,1
27277,200000,1,1,1,30,2,2,2,2,2,2,44411,45379,45858,45781,47401,40536,2000,1500,1000,2540,2000,0,1
19000,70000,0,1,0,29,0,0,2,2,2,2,71237,76632,74853,78789,77084,80572,6577,0,5816,0,5364,0,1
1925,220000,1,1,0,28,0,0,0,0,0,0,221268,219545,216317,181012,181435,183283,8700,8500,6300,6700,7200,5300,1
11300,260000,0,3,1,41,0,0,0,2,2,0,137614,137133,134970,88806,86858,89970,5700,9000,4500,0,5000,3700,1
10741,360000,1,2,1,63,1,0,0,0,0,0,-3,-3,590,-10,2162,3528,0,593,0,2172,3545,0,1
21846,170000,0,2,0,25,0,0,0,0,0,0,26151,24019,26013,24471,23496,25333,3000,5000,2000,2000,5000,895,1
13330,380000,0,1,1,42,2,0,0,0,0,0,326,326,326,652,326,29326,326,326,652,0,29326,326,1
14008,20000,0,1,0,29,0,0,0,0,0,0,3417,-802,-1282,1718,1238,1831,4,0,3000,0,1831,1500,1
1840,160000,0,3,1,51,2,2,2,2,2,2,142064,144900,146534,147955,145488,155041,6600,5500,5310,0,12000,0,1
18632,110000,0,2,0,26,0,0,0,0,0,0,1687,400,300,922,3509,1979,400,300,922,3509,0,5192,1
