,Locality,Average Housing Price,Standard Deviation of Housing Price,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017
0,ALBERT PARK,521.375,9.393315442377094,520,500,520,520,520,531,530,530
1,ARMADALE,423.75,24.968730444297723,400,400,400,410,420,440,450,470
2,CARLTON NORTH,535.625,13.564084008881691,530,530,520,520,530,545,550,560
3,CARLTON,385.25,12.71563997602952,372,370,370,380,395,395,400,400
4,CBD,466.25,14.947825928876748,450,450,450,460,470,480,480,490
5,COLLINGWOOD,453.125,9.662265521087692,440,450,450,450,450,450,460,475
6,DOCKLANDS,523.75,8.569568250501305,520,530,530,520,520,510,520,540
7,EAST MELBOURNE,485.375,11.168454458876573,470,475,478,475,495,495,495,500
8,EAST ST KILDA,393.75,6.49519052838329,385,385,390,390,400,400,400,400
9,ELWOOD,412.25,8.089344843681719,400,400,410,410,418,420,420,420
10,FITZROY,521.625,9.668731819633845,510,510,510,520,530,530,530,533
11,FITZROY NORTH,512.5,13.693063937629153,500,500,500,505,510,520,525,540
12,FLEMINGTON,405.625,5.829611908180509,400,400,400,400,410,415,410,410
13,NORTH MELBOURNE,413.125,10.879309490955757,395,400,410,410,420,420,420,430
14,PORT MELBOURNE,561.875,11.709371246996996,550,550,550,560,560,570,570,585
15,PRAHRAN,406.25,10.231690964840562,395,400,400,400,400,410,420,425
16,RICHMOND,494.375,10.135796712641785,480,485,490,490,495,500,500,515
17,SOUTH MELBOURNE,505.625,7.680128579652817,500,500,500,500,500,510,515,520
18,SOUTH YARRA,445.0,7.0710678118654755,430,440,440,450,450,450,450,450
19,SOUTHBANK,536.875,4.284784125250653,530,530,535,540,540,540,540,540
20,ST KILDA,401.875,7.473912964438374,390,395,400,400,400,405,410,415
21,TOORAK,473.375,13.387844299961065,460,465,465,460,473,475,490,499
22,GROUP TOTAL,453.125,8.992184106211349,440,445,450,450,450,460,460,470
23,BALWYN,501.25,3.307189138830738,500,500,500,510,500,500,500,500
24,BLACKBURN,410.625,6.343057228182637,400,405,410,410,410,410,420,420
25,BOX HILL,398.75,6.49519052838329,390,390,395,400,400,400,405,410
26,BULLEEN,453.125,5.555121510822243,450,450,450,450,450,450,460,465
27,BURWOOD,433.875,9.171116344262568,420,430,430,428,430,438,445,450
28,CAMBERWELL,450.625,11.575161985907584,435,440,445,450,450,450,460,475
29,CANTERBURY,462.875,13.336392878136127,450,450,450,450,468,475,480,480
30,CHADSTONE,422.875,9.23901374606619,410,410,420,420,425,430,430,438
31,CLAYTON,376.875,8.992184106211349,365,370,370,370,380,380,390,390
32,DONCASTER EAST,460.625,9.82264602843857,450,450,450,460,460,465,475,475
33,EAST HAWTHORN,413.75,9.921567416492215,400,400,410,410,420,420,420,430
34,GLEN WAVERLEY,458.75,7.806247497997997,450,450,450,460,460,460,470,470
35,HAWTHORN,377.0,5.744562646538029,370,370,370,380,380,380,380,386
36,KEW,481.0,7.211102550927978,473,475,470,480,490,490,485,485
37,MOUNT WAVERLEY,463.75,5.448623679425842,460,460,460,460,460,465,470,475
38,NUNAWADING,390.625,6.817945071647322,380,385,385,390,390,395,400,400
39,VERMONT,425.625,10.43955818030629,420,420,420,420,420,420,435,450
