,Year,Sector,School,Locality,Number of Unit 3/4 VCE Stubjects Offered, Number of VET Subjects Offered,IB Offered,Number of VCE Enrollments,Number of VET Enrollments,Number of VCAL Enrollments,Percentage of VCE students applying for tertiary places,VCE Percentage of Sastisfactory Completion,Number of students awarded the VCE (Baccalaureate),VET Percentage of Sastisfactory Completion,VCAL Percentage of Sastisfactory Completion,Median VCE study score,Percentage of study scores of 40 and over
0,2017,CATHOLIC,ACADEMY OF MARY IMMACULATE,FITZROY,41,6,0,149,17,0,93,96,9,99.0,0.0,31.0,12.4
3,2017,INDEPENDENT,AITKEN COLLEGE,GREENVALE,52,23,0,165,135,22,94,100,6,91.0,100.0,29.0,6.1
4,2017,INDEPENDENT,AL SIRAAT COLLEGE,EPPING,12,2,0,34,48,0,100,100,0,99.0,0.0,25.0,2.2
5,2017,INDEPENDENT,AL-TAQWA COLLEGE,TRUGANINA,27,11,0,177,46,38,92,100,2,93.0,94.0,27.0,3.0
6,2017,GOVERNMENT,ALBERT PARK COLLEGE,ALBERT PARK,50,19,1,248,39,0,91,99,10,84.0,0.0,32.0,12.5
8,2017,GOVERNMENT,ALEXANDRA SECONDARY COLLEGE,ALEXANDRA,22,6,0,48,74,21,75,100,0,91.0,68.0,24.0,2.4
9,2017,INDEPENDENT,ALIA COLLEGE,HAWTHORN EAST,29,3,0,31,4,0,68,100,0,59.0,0.0,24.0,0.0
10,2017,INDEPENDENT,ALICE MILLER SCHOOL,MACEDON,18,2,0,22,0,0,71,100,0,0.0,0.0,29.0,4.3
11,2017,GOVERNMENT,ALKIRA SECONDARY COLLEGE,CRANBOURNE NORTH,57,38,0,215,153,78,65,92,2,86.0,82.0,27.0,2.7
12,2017,INDEPENDENT,ALPHINGTON GRAMMAR SCHOOL,ALPHINGTON,21,0,0,94,0,0,95,99,7,0.0,0.0,32.0,13.1
13,2017,CATHOLIC,ANTONINE COLLEGE,PASCOE VALE SOUTH,26,11,0,69,31,0,83,98,0,94.0,0.0,26.0,3.5
14,2017,GOVERNMENT,APOLLO BAY P-12 COLLEGE,APOLLO BAY,19,8,0,28,26,0,90,100,0,96.0,0.0,32.0,15.7
15,2017,CATHOLIC,AQUINAS COLLEGE,RINGWOOD,57,31,0,354,146,53,83,100,7,99.0,99.0,30.0,6.5
16,2017,GOVERNMENT,ARARAT SECONDARY COLLEGE,ARARAT,28,19,0,52,57,35,56,100,0,58.0,55.0,26.0,0.7
17,2017,GOVERNMENT,ASHWOOD HIGH SCHOOL,ASHWOOD,37,19,0,68,26,23,95,98,2,63.0,57.0,29.0,5.0
18,2017,CATHOLIC,ASSUMPTION COLLEGE,KILMORE,76,50,0,340,346,34,82,100,3,90.0,78.0,28.0,2.2
19,2017,GOVERNMENT,AUBURN HIGH SCHOOL,HAWTHORN EAST,26,2,0,76,0,0,87,93,10,0.0,0.0,27.0,2.4
20,2017,INDEPENDENT,AUSTRALIAN INTERNATIONAL ACADEMY OF EDUCATION,COBURG,18,0,1,27,0,0,98,100,1,0.0,0.0,30.0,5.3
21,2017,CATHOLIC,AVE MARIA COLLEGE,ABERFELDIE,38,9,0,265,143,0,96,99,7,86.0,0.0,31.0,8.4
22,2017,CATHOLIC,AVILA COLLEGE,MOUNT WAVERLEY,47,12,0,261,33,22,98,99,30,100.0,94.0,32.0,8.8
23,2017,GOVERNMENT,BACCHUS MARSH COLLEGE,BACCHUS MARSH,55,36,0,148,149,77,70,94,0,62.0,70.0,24.0,0.0
24,2017,INDEPENDENT,BACCHUS MARSH GRAMMAR,BACCHUS MARSH,45,13,0,217,50,12,97,100,7,93.0,100.0,31.0,10.0
25,2017,GOVERNMENT,BAIMBRIDGE COLLEGE HAMILTON,HAMILTON,25,17,0,86,100,28,50,89,0,90.0,78.0,26.0,0.6
26,2017,GOVERNMENT,BAIRNSDALE SECONDARY COLLEGE,BAIRNSDALE,55,22,0,200,129,86,51,96,0,50.0,69.0,24.0,0.8
