,Name,Services provided,Cost ($) ex GST 
2,139PRIME PTY LTD,Professional Services,26520
3,8T8 TECHNOLOGIES,IT Services,8140
4,A ABRAHAMS + OTHERS,Professional Services,23639
5,A G COOMBS SERVICING PTY LIMITED,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",2029
6,ABORIGINES ADVANCEMENT LEAGUE,Education and Community Development Services,1098
7,ACCELERATED KNOWLEDGE TECHNOLOGIES PTY LTD,Professional Services,31873
8,ACCELERATOR COMMUNICATIONS PTY LTD,Professional Services,380842
9,ACCESS INNOVATION MEDIA PTY LIMITED,"Publishing, Printing, Promotions and Communications or Marketing Services",7025
10,ACIL ALLEN CONSULTING PTY LTD,"Professional Services (Research, Leadership and Professional Development)",239048
11,ACTIV8 TECHNOLOGIES PTY LTD,IT Services,69542
12,ADAPS CONSULTING PTY LTD,Recruitment Services,18960
13,ADECCO AUSTRALIA PTY LTD,Contract Staff (Whole of Government State Purchase Contract),256369
14,ADGO PTY LTD,Education Services,2450
15,ADVANCE SECURITY,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",22195
16,AECOM SERVICES PTY LTD,Professional Services,4490
17,AFFINITEXT INC,Professional Services,15000
18,AFS INTERCULTURAL PROGRAMS AUSTRALIA,Education Services,196208
19,AG BELL ACADEMY,Education Services,591
20,AGENDA GROUP PTY LTD,Professional Services,91000
21,AGILE + ASSOCIATES,Professional Services,4160
22,AGL TECHNOLOGY PTY LTD,IT Services,13012
23,AKA PROJECTS PTY LTD,Professional Services,8230
24,ALL SEASONS BENDIGO,"Accommodation, Event, Functions and Conference",12836
25,ALLIED PICKFORDS BUSINESS RELOCATIONS MELBOURNE,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",3006
26,ALMEGA PTY LTD,IT Project Management Services,96797
27,ALMEGA SOLUTIONS,IT Services,4302
28,ALTIS CONSULTING PTY LTD,Professional Services,25138
29,ALTUS PAGE KIRKLAND,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",29080
30,AMION SERVICES,IT Services,39643
31,AMQ CONSULTING PTY LTD,Professional Services,4500
32,ANDREW FULLER+ASSOCIATES,"Professional Services (Research, Leadership and Professional Development)",14673
33,ANDREW PEGLER MEDIA,Professional Services,51465
34,ANNE DALTON + ASSOCIATES,Professional Services,56665
35,ANT HOUSE PTY LTD,Education Services,37273
36,ANU ENTERPRISE PTY LIMITED,Professional Services,47759
37,AP CONSULTANTS,IT Services,40223
38,APLUS IT SERVICES PTY LTD,IT Services,75310
39,APPSCORE INTERNATIONAL PTY LTD,Professional Services,45173
40,AQUA CENTRAL NATURAL SPRINGWATER PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",351
41,AQUENTA CONSULTING PTY LTD,Professional Services,1200
42,ARCBLUE,Education Services,11700
43,ARMOUR SECURITY,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",1930
44,ARRUS KNOBLE (AUST) PTY LTD,Professional Services,14000
45,ARTIS GROUP PTY LIMITED,Professional Services,333724
46,ASB COMPUTER CONSULTING,IT Services,11750
47,ASG GROUP LIMITED,IT Services,340649
48,ASLIA VIC INC,Professional Services,4780
49,ASSAI CONSULT PTY LTD,Professional Services,7732
50,ASTHMA FOUNDATION OF VICTORIA,HR Services,27746
51,ASYMMETRICS PTY LTD,"Professional Services (Research, Leadership and Professional Development)",4606406
52,ATCO STRUCTURES AND LOGISTICS PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",912547
53,ATOS (AUSTRALIA) PTY LTD,IT Services,45371
