STUDENT ID,DET_Region,METRO/NON-METRO,EDUCATION SECTOR,LOCAL GOVERNMENT AREA,SEX,STUDY STRAND,SES quartile (student residence),Country_of_birth,LOTE SPOKEN AT HOME,DESTINATION ,DESTINATION (including deferrals)
1,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Frankston,F,VCE non-VET,Lower-middle, , ,Employed,Deferred
2,NORTH-EASTERN VICTORIA,Non-Metropolitan,Independent,Moira,F,VCE non-VET,Lowest, , ,Apprenticeship/traineeship,Apprenticeship/traineeship
3,NORTH-WESTERN VICTORIA,Metropolitan,Government,Banyule,M,VCE non-VET,Lower-middle, , ,NILFET,Deferred
4,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Wyndham,F,VCE VET,Lowest, , ,Certificates/diplomas,Certificates/diplomas
5,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Greater Geelong,F,VCE non-VET,Highest, , ,Employed,Deferred
6,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Greater Geelong,M,VCE non-VET,Highest, , ,Employed,Deferred
7,SOUTH-EASTERN VICTORIA,Metropolitan,Catholic,Greater Dandenong,M,VCE non-VET,Lower-middle, , ,Employed,Deferred
8,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Maroondah,M,VCE non-VET,Upper-middle, , ,Employed,Deferred
9,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Frankston,F,VCE non-VET,Upper-middle, , ,Employed,Deferred
10,NORTH-EASTERN VICTORIA,Metropolitan,Government,Monash,F,VCE non-VET,Highest, , ,Bachelor degree,Bachelor degree
11,NORTH-EASTERN VICTORIA,Metropolitan,Catholic,Yarra Ranges,F,VCE non-VET,Upper-middle, , ,NILFET,Deferred
12,NORTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Macedon Ranges,F,VCE non-VET,Highest, , ,Unknown,Deferred
13,NORTH-WESTERN VICTORIA,Metropolitan,Catholic,Nillumbik,F,VCE non-VET,Highest, , ,NILFET,Deferred
14,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Boroondara,F,VCE non-VET,Highest, , ,NILFET,Deferred
15,NORTH-WESTERN VICTORIA,Metropolitan,Government,Whittlesea,M,VCE VET,Upper-middle, , ,Employed,Deferred
16,SOUTH-EASTERN VICTORIA,Non-Metropolitan,Government,Latrobe,F,VCE non-VET,Upper-middle, , ,Employed,Deferred
17,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Catholic,Southern Grampians,M,VCE VET,Lowest, , ,Employed,Deferred
18,NORTH-WESTERN VICTORIA,Non-Metropolitan,Government,Greater Bendigo,M,VCE non-VET,Lower-middle, , ,Employed,Deferred
19,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Greater Geelong,F,VCE non-VET,Highest, , ,Employed,Deferred
20,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Ballarat,M,VCE non-VET,Lower-middle, , ,Employed,Deferred
21,NORTH-WESTERN VICTORIA,Metropolitan,Government,Yarra,M,VCE non-VET,Lower-middle, , ,Employed,Deferred
22,NORTH-WESTERN VICTORIA,Non-Metropolitan,Government,Greater Bendigo,F,VCE non-VET,Lower-middle, , ,Employed,Deferred
23,SOUTH-EASTERN VICTORIA,Non-Metropolitan,Independent,Wellington,F,VCE non-VET,Lower-middle, , ,Employed,Deferred
24,SOUTH-EASTERN VICTORIA,Metropolitan,Catholic,Stonnington,F,VCE non-VET,Highest, , ,Employed,Deferred
25,NORTH-WESTERN VICTORIA,Metropolitan,Independent,Whittlesea,F,VCE non-VET,Upper-middle, , ,Employed,Deferred
26,NORTH-EASTERN VICTORIA,Non-Metropolitan,Catholic,Moira,F,VCE non-VET,Lowest, , ,Employed,Deferred
27,NORTH-EASTERN VICTORIA,Non-Metropolitan,Government,Greater Shepparton,F,VCE VET,Highest, , ,Employed,Deferred
28,NORTH-EASTERN VICTORIA,Non-Metropolitan,Catholic,Mitchell,F,VCE non-VET,Upper-middle, , ,Employed,Deferred
29,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Catholic,Ballarat,M,VCE non-VET,Lower-middle, , ,Employed,Deferred
30,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Government,Greater Geelong,F,VCE VET,Highest, , ,Employed,Deferred
31,SOUTH-EASTERN VICTORIA,Metropolitan,Catholic,Kingston,M,VCE non-VET,Highest, , ,Certificates/diplomas,Certificates/diplomas
32,SOUTH-EASTERN VICTORIA,Metropolitan,Independent,Mornington Peninsula,M,VCE non-VET,Upper-middle, , ,Employed,Deferred
33,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Catholic,Greater Geelong,M,VCE non-VET,Highest, , ,Employed,Deferred
34,SOUTH-EASTERN VICTORIA,Metropolitan,Independent,Bayside,F,VCE non-VET,Highest, , ,Employed,Deferred
35,NORTH-EASTERN VICTORIA,Non-Metropolitan,Government,Towong,F,VCE non-VET,Lowest, , ,Employed,Deferred
36,SOUTH-EASTERN VICTORIA,Non-Metropolitan,Catholic,South Gippsland,F,VCE non-VET,Lower-middle, , ,Employed,Deferred
37,NORTH-EASTERN VICTORIA,Non-Metropolitan,Catholic,Benalla,F,VCE non-VET,Lowest, , ,Employed,Deferred
38,SOUTH-EASTERN VICTORIA,Metropolitan,Independent,Casey,F,VCE VET,Upper-middle, , ,Employed,Deferred
39,NORTH-WESTERN VICTORIA,Metropolitan,Independent,Nillumbik,F,VCE VET,Highest, , ,Employed,Deferred
40,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Maroondah,F,VCE non-VET,Highest, , ,Employed,Deferred
41,NORTH-WESTERN VICTORIA,Metropolitan,Government,Nillumbik,M,VCE non-VET,Highest, , ,Employed,Deferred
42,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Boroondara,F,IB,Highest, , ,Employed,Deferred
43,NORTH-EASTERN VICTORIA,Metropolitan,Catholic,Yarra Ranges,F,VCE non-VET,Lower-middle, , ,Apprenticeship/traineeship,Apprenticeship/traineeship
44,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Port Phillip,F,VCE non-VET,Upper-middle, , ,Employed,Deferred
45,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Greater Geelong,F,VCE non-VET,Upper-middle, , ,Employed,Deferred
46,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Port Phillip,F,VCE non-VET,Highest, , ,Employed,Deferred
47,SOUTH-WESTERN VICTORIA,Metropolitan,Independent,Melbourne,M,VCE non-VET,Highest, , ,Employed,Deferred
48,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Boroondara,F,VCE non-VET,Highest, , ,Employed,Deferred
49,SOUTH-EASTERN VICTORIA,Metropolitan,Independent,Glen Eira,F,VCE non-VET,Highest, , ,Apprenticeship/traineeship,Apprenticeship/traineeship
50,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Greater Geelong,M,VCE non-VET,Highest, , ,Employed,Deferred
51,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Greater Geelong,M,VCE non-VET,Highest, , ,Employed,Deferred
52,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Greater Geelong,M,VCE non-VET,Lower-middle, , ,Employed,Deferred
53,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Greater Geelong,M,VCE non-VET,Upper-middle, , ,Employed,Deferred
54,SOUTH-EASTERN VICTORIA,Metropolitan,Independent,Stonnington,F,VCE VET,Highest, , ,Employed,Deferred
55,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Port Phillip,F,VCE non-VET,Highest, , ,Employed,Deferred
56,SOUTH-WESTERN VICTORIA,Metropolitan,Independent,Melbourne,M,VCE non-VET,Highest, , ,Employed,Deferred
57,SOUTH-EASTERN VICTORIA,Non-Metropolitan,Government,East Gippsland,F,VCE non-VET,Lowest, , ,Apprenticeship/traineeship,Apprenticeship/traineeship
