"Condition" "Total"
"1" 1 10
"2" 1 6
"3" 1 7
"4" 1 10
"5" 1 10
"6" 1 15
"7" 1 8
"8" 1 12
"9" 1 13
"10" 1 7
"11" 1 3
"12" 1 4
"13" 1 3
"14" 1 4
"15" 1 4
"16" 1 3
"17" 1 5
"18" 1 4
"19" 1 5
"20" 1 4
"21" 1 2
"22" 1 4
"23" 1 2
"24" 1 4
"25" 1 2
"26" 1 2
"27" 1 3
"28" 2 4
"29" 2 3
"30" 2 4
"31" 2 6
"32" 2 7
"33" 2 6
"34" 2 2
"35" 2 5
"36" 2 6
"37" 2 6
"38" 2 2
"39" 2 4
"40" 2 3
"41" 2 3
"42" 2 1
"43" 2 3
"44" 2 3
"45" 2 1
"46" 2 3
"47" 2 3
"48" 2 5
"49" 2 4
"50" 2 3
"51" 2 2
"52" 2 2
"53" 2 2
"54" 2 3
"55" 2 4
"56" 2 5
"57" 2 4
"58" 2 2
"59" 2 4
"60" 2 5
"61" 2 3
"62" 2 5
"63" 2 4
"64" 2 4
"65" 3 9
"66" 3 11
"67" 3 10
"68" 3 15
"69" 3 11
"70" 3 11
"71" 3 7
"72" 3 8
"73" 3 12
"74" 3 10
"75" 3 5
"76" 3 1
"77" 3 4
"78" 3 3
"79" 3 2
"80" 3 2
"81" 3 4
"82" 3 3
"83" 3 2
"84" 3 2
"85" 3 1
"86" 3 2
"87" 3 4
"88" 3 2
"89" 3 5
"90" 3 5
"91" 3 2
"92" 3 1
"93" 3 4
"94" 3 3
"95" 4 11
"96" 4 4
"97" 4 7
"98" 4 7
"99" 4 7
"100" 4 7
"101" 4 9
"102" 4 11
"103" 4 6
"104" 4 8
"105" 4 2
"106" 4 2
"107" 4 1
"108" 4 3
"109" 4 3
"110" 4 3
"111" 4 4
"112" 4 3
"113" 4 3
"114" 4 3
"115" 4 2
"116" 4 2
"117" 4 3
"118" 4 2
"119" 4 2
"120" 4 2
"121" 4 2
"122" 4 3
"123" 4 3
"124" 4 3
"125" 4 2
"126" 4 5
"127" 4 3
"128" 4 2
"129" 4 5
"130" 4 2
"131" 4 5
"132" 4 1
"133" 4 2
"134" 4 3
